冬瓜、黄瓜、西瓜、南瓜都能吃，什么瓜不能吃？	傻瓜 
一个人从万丈峡谷往下跳，为什么没摔疼？	那个人已经摔死拉 
小民生病了，要开刀，换脑。医院里还有脑，为什么不换？	有1000台电脑。 
小明为什么能四个小时不眨眼。	他在睡觉。 
一艘大船已航行多时，为什么从来没沾过一滴水？	因为这是一艘太空船！ 
爸爸、妈妈、小民去奶奶家，小民坐车去，但是爸爸、妈妈却一早到 了？	因为小民坐错车了！ 
人可以登上任何高山,可有一个地方永远上不去?	自己的头顶 
什么花一年四季都开？	假花 
美美的爸爸是天文学家，但对一些星的知识却没有美美多，那是什么？	歌星的知识 
月亮什么时候不发光?	月亮本来就不发光. 
为什么王爷爷擦桌子,怎么也擦不干净?	因为王爷爷的眼镜花了 
有10只鸟，打死了一只，其它九只为什么没飞？	因为那是一群驼鸟。 
有一家叫"友朋小吃"的面包店,每当小朋友经过时都急急忙忙地跑开去,为什么?	因为小朋友将"友朋小吃'看成"吃小朋友"! 
小李薪水很低，可为什么天天一掷千金？	他是银行的运钞员 
如何把撒在地上的芝麻迅速捡完？	把鸡叫起来 
一只乌龟做梦梦到自己中了千元大奖，他醒来时发现美梦竟然成真了。他 下一步该怎么办？	自己在睡一觉。 
什么消费者甘心任人宰割？	上了手术台的病人！ 
冬冬昨晚九个小时花在了英语课本上，可爸爸还是怪他不用功？	他将英语课本当枕头睡着了！ 
什么东西转动不需要动力。	地球。 
一个人他的枪法不怎么样，可是有一天却打中了人家的帽子。	他把帽子罩在枪口上。 
一个跳伞运动员从1000米高空跳下，为什么人们半天也不见他呢？	因为他掉海里了！ 
闪电和电有什么不同？	闪电收费，电不收费。 
什么只能加不能减？	年龄 
小桦每次跑步都跑最后，但这次却在体育考试上拿了个第一，为什么呢？	倒数第一 
小迷糊的成绩单星期一才会发为什么星期天晚上他就因为成绩被爸爸训了 一顿	因为他爸爸是他的老师 
什么东西加上十还是十个,减去十个,还是十个?	戴手套 
锦蛇,蟒蛇,青竹丝,哪种最长?	青竹丝三个字最长. 
打什么最省力又舒服	瞌睡 
小明家的鸡在小亮家里下了一个蛋，蛋是谁的？	蛋是鸡下的，当然是鸡的。 
为什么母鸡的腿比公鸡的短？	因为母鸡要生蛋，腿长了会把蛋弄碎了 
什么东西不细菌还小？	细菌的儿子 
龙生的儿子和狗生的儿子有几点不同	一点不同。龙生的儿子叫太子，狗生的儿子叫犬子 
上课铃响了，却没有一个人进教室。这是为什么？	是体育课。 
老王工作不努力，却能天天步步高升，为什么？	坐电梯上班 
小李司机看见一只猴子蹲在树上，为什么小李司机把车停下来了？	因为小李司机把猴子的屁股当成红灯了。 
什么时候有人敲门，你绝不会说请进？	你在厕所里上厕所的时候 
为什么秋天大雁总要往南飞？	因为飞的比走的快。ok? 
放大镜有什么放不大？	角度 
有人开着出租车出门，为什么没人打车？	他走的是高速公路。 
三个“木”叫“森”，三个“人”叫“众”，三个“鬼”叫什么？	救命！（三个鬼，你不害怕？？） 
小猴到树上摘南瓜，一巴掌打下一个，十巴掌打下几个？	南瓜不长在树上。 
小民说：“我有一瓶万溶胶。什么东西遇到它顷刻之间便会融化。”他的 话有什么破绽吗？	这种东西用什么容器装？ 
什么东西本身不大，但它能装比它还要大的东西，说的是什么？	电视 
煮1只鸡蛋需5分钟，煮4只鸡蛋需多少分钟？	还是5分钟。 
为什么暑假比寒假长？	热胀冷缩 
一只公猫加一只母猫，打三个字	两只猫 
什么东西大象才有,而别的东西没有?	别的东西没有小象 
在什么地方被人打不疼？	在梦里。 
大街上,有个人仰着头站着.旁边的人以为天空中有什么好看的东西.都跟 着仰头望着天空.可天空中什么也没有.你猜那人怎么说?	“我的鼻血总算止住了”那人说 
孔子是世界上著名的什么家	老人家 
卖的人知道，买的人知道，用的人不知道。	棺材 
三个人合撑一把伞在路上走，可没有一个人被淋湿，为什么？	没下雨 
一年前的今天我们都在做着同一件事，你知道是什么事吗？	呼吸 
小明是著名的跳水运动员，可有一天他站在三米板上不敢跳，为什么？	因为池内没水 
什么人生来就称王？	姓王的人 
天上没有星星，也没有月亮，马路上的路灯没有打开。 为什么有一辆汽车能快速安全地行驶着？	在白天 
世界上什么鱼两个眼睛距离最近。	最小的鱼 
小亮要当警察追随父亲的足迹，他父亲是干什么的？？？	小偷 
你有山渣GAO吗？	有是高不是糕 
真理的位置在哪里？	真理无所不在 
小明想梦想成真，他最好的办法是什么？	醒过来。 
有个老人过生日，有人祝他长命百岁，为什么老人马上把他赶出去？	因为那老人正在过99岁生日 
什么树没有叶子？	枯树 
前面一堆草,后面一堆草,你看到了什么花?	没花 
烧饼贵还是稀饭贵？	物以为稀 
有一个口齿伶俐的人,为什么见到他的朋友都不说话呢?	他朋友拿的是这个人的照片 
什么朝代最清净？	清朝 
什么水永远取之不尽，用之不竭？	口水 
为什么有人说岳飞背上的字是他丈母娘刺的？	因为是“岳母”嘛！ 
沙漠里为什么没有鲜花？	因为没有牛，是鲜花插在牛粪上。 
怎样才能买到没有小鸡的蛋?	买鸭蛋 
全世界最大的公鸡从哪里来的？	蛋里 
有一个人丢了头毛驴不去寻找，却不停的喊；“谢天谢地，谢天谢 地......” 为啥呢？	还好他没坐在上面，不然他也丢了。 
客人送来草莓，贝贝吵着吃草莓，可妈妈为什么说家里没草莓？	客人送的是一幅画。 
报纸和电视新闻有什么不同？	报纸看完了可以包油条，电视不可以。 
一只已经饥饿以久的狼看见一只绵羊，却马上逃走了。为什么？	羊的后面有只老虎。 
什么人不怕冷?	雪人 
一只蚊子飞到了老奶奶的额头上，老奶奶动都没动，为什么蚊子却死 了？	被老奶奶的皱纹掐死了呗，傻瓜！ 
烟鬼甲每天抽50支烟，烟鬼乙每天抽30支烟。5年后，烟鬼乙抽的烟比 烟鬼甲抽的还多，为什么？	因为烟鬼甲由于烟抽的太多，死了。 
世界上最大的土豆长在哪里？	地里 
两幢大楼，相隔才10CM，一幢大楼起火了，一个人往另外一幢大楼 跳，为什么还是摔死了？	因为他们相隔高度有30米！ 
两只老虎打架为什么斗得你死我活？	因为没人敢劝架。 
有一种线只能看，怎么也摸不着，为什么？	光线 
一架飞机撞到山上，确没有一个人受伤。为什么？	那是玩具飞机。 
两个爸爸和两个儿子到店去吃饭,服务员只给三份套餐,为什么?	两个爸爸中有一个是爷爷另一个就是爸爸,两个儿子中有一 
一个办公室很简陋，下雨时雨水常常滴在工作人员身上。但有一 天，下暴雨，但工作人员一个都没被水淋着，为什么？	因为那天是周末，没人上班。 
世界上使用的语言很多，那么什么话是世界通用得最多的？	电话 
小明抢了东西就走，为什么大家还为他高兴？	因为小明在踢足球。 
今天晚餐吃咖哩，都快凉掉了，妈妈为什么还不叫大家吃饭？	因为家里的人都还没回来。 
小明把一个鸡蛋扔到4米远地方时，为什么鸡蛋没有碎呢？	鸡蛋在4米远时还没有着地。 
什么人一听到乐曲手就会不停地抖动？	指挥演奏的人 
怎样用一块钱换一百块钱？	打电话向家里要钱。 
谁知道到天上有多颗星星	天知道 
什没东西只能往前走，不能往后退。	时间 
什么人肚子最大?	宰相,因为宰相肚里能撑船. 
有四个中国人：小黄、小李、小王和小张，他们一起去瑞士旅游。小 黄会说拉丁语和德语，小李会说德语和法语，小王会说法语和英语， 小张会说西班牙语和英语。这天他们在饭店里看到一张用拉丁语写的 旅游广告，小黄读	何必那么麻烦，直接用中文不就行了嘛！ 
中国的国内盛产什么？	玉，“国”字内是玉。 
你妈妈小时候有没有打过你？	没有（你妈妈小时候怎么可能打得到你！） 
一名大师他的功夫真不一般，他居然可以在下雨出门时，即便不带任何遮 雨的工具，包括帽子也不戴,就算全身都湿透了的时候，头发也不会湿； 真不知他用的是什么法术，可这都是真的！为什么?	因为他是和尚 
喝什么东西可以让人变成鬼?	酒,酒鬼 
第九届奥运会男子100米赛第一个跑到终点的是谁	工作人员 
一对夫妇天天都吵架，为什么六月份只吵了20天？	因为他们是6月10日结婚的。 
人的一生最需要什么？	吃饭 
一个在意大利工作的人，有没有可能死在美国？	不可能。因为他（她）正在工作。 
大眼霞在38度的高温下运动，为什么没有中暑？	她在游泳。 
什么人没病也天天去看病？	是医生啦！ 
人们常说的三个字是什么?	不知道 
怎样让自行车和火车跑得一样快？	把自行车放在火车上。 
什么事两个人在一起就知道是谁做的，三个人（或以上）在一起就不知道 是谁做的？	在房里放一个不响，但劲臭的屁！ 
什么亮在暗中看不见？	飘亮 
如果地球爆炸，哪两个地方最安全？	天堂和地狱 
一溜三棵树，栓十头羊，怎么栓？	一六三加再一起不就是十棵树！ 
一个成年的胃病病人，为什么去儿童医院？	因为他是儿童医院的医生。 
为什么大眼霞吃葡萄不吐葡萄皮？	因为她在吃葡萄干。 
小鸡和小鸭同伴去郊游，它们要过一座山区，一条小河，它们能到达目地 吗？	不能。因为小鸡不会游水。 
爸爸买了一支钢笔给小阳。小阳就在白纸上画了一个圆圈，他（她）是 从那（哪）里开始画的？	是从钢笔尖开始画的 
三个臭皮匠顶个诸葛亮，一个诸葛亮顶个什么呢？	顶一台电脑。 
圆圆的考试卷上哪个分数最高？	当然是总分最高喽！ 
什默破了比不破好？	破案 
什么东西越洗越脏？	水。 
什么车最长？	堵车 
小丽对小花说：“后天的大前天的后天也就是昨天的昨天的大后天是我 的生日，请来参加我的生日会。小花应该什么时候去呢？	明天 
什么老鼠跑的最快	见到猫的老鼠 
什么火没有烟？	萤火 
小明跟爸爸妈妈去外国旅行。不会外语的小明为什么没有感到不方便？	小明是婴儿 
老张是一位出色的小说家。可是，为什么老张在近一个月里，一篇文章的 题目也写不出来？	他在写日记。 
一个人从小到大一直流浪，为什么有一天他不流浪了	因为他死了 
一个东西有四条腿却不能走路，为什么？	是桌子。 
鸟类的绝症是什么？	畏高症 
青蛙为什么跳得比树高?	应为树不会跳. 
一架飞机在天上飞，忽然没油了，什么先掉下来？	油表先掉下来 
什么花没有枝？	雪花 
小东聪明过人，为什么今天连北都找不着？	因为他被蒙着眼睛。 
什么鸡没有翅膀？	田鸡 
什么东西你只要叫一声它的名字它就会破坏？	沉默 
十个人打架八个人劝驾六个人回家两个人关门	校 
一只小狗在沙漠中行走，它带了充足的水和食物，也找到了直的电线竿， 上面也没有挂上“请勿随地大小便”，为什么还是死了？	那时小狗太多，它无法靠近电线竿。 
白雪公主和黑马王子结婚后生下一个小姑娘叫什么名字？	灰姑娘 
什么寨人最多？	柬普寨 
什么水是按日期发的？	薪水 
什么池里没有水？	电池里没有水。 
你能把一张崭新的十元钱立在桌子上吗？	把钱折一下 
什么东西越旧越好？	古董 
一年四季都不热的水是什么水？	冰水。 
一只小猪跑了，主人拿一根棍子赶它,院子特别大可是小猪却撞死在树上了,为什么？	因为小猪不会脑筋急转弯，哈哈 
什么东西人们都不喜欢吃？	吃亏 
有一个盲人走路，在路上捡到一个大鸭梨，他拿起梨说了一句话，这句话是一个国家的名，这国家的名是什么？	澳大利亚（噢大梨呀！） 
雨下大了，人们都争先恐后地往前跑，可是阿呆却不紧不慢地走着，为什么？	他说前面也在下雨。 
小华才四岁为什么就当爸爸了？	玩过家家嘛。 
什么人每天弄虚作假？	演员 
在一个房间里，有很多人，要把一个萍果放在哪里，才能使一个人看不见，别的人看的见。	放在一个人头上。 
一只船在水中破了一个洞，漏水了，怎么办？	再挖一个洞 
什么东西倒着放比顺着放好？	“福”字 
什么车用绳子拽动了轮子也跑不起来？	纺车 
一个人用一根米线上吊,他死了.他是怎么死的?	摔死的 
哭和笑有什么相同之处？	都是十笔。 
火箭为什么飞的那么快?	你屁股上着火当然跑的快了. 
睡美人最怕什么？	失眠 
一个农场没有鸡，为什么有蛋？	因为养鸭 
什么歌唱起来最危险？	《长恨歌》 
什么河里没有水？	银河 
什么船从来不下水？	宇宙飞船 
什么字半个月才能写完	胖 
每次吃完饭都是爸爸洗碗，可今天却没洗碗，为什么？	因为在餐厅里吃饭。 
投资哪种票，风险最大？	绑票 
坐什么板凳最不好受？	冷板凳 
胖姐生病了，最怕探病人说什么？	多多保重 
什么是倾城倾貌？	地震 
什么杯不能装水人们却想得到它？？？	奖杯 
有两位爸爸，两位儿子，为什么只有三个人？	他们是祖宗三代 
小偷看见一辆车为什么不去偷？	车是自己的。 
什么果不能吃？	恶果 
念“清华大学 ”要多长时间？	最多需要四秒钟。 
一天里，时钟的长短针多少次完全叠合？	它们的长短不同，所以不可能叠合。 
小明被汽车撞到了，但是没有撞伤，为什么？	是玩具汽车 
小花不是哑吧，但却不会说话，为什么？	小花是只小狗。 
什么人不敢透视检查？	狼心狗肺的人。 
一个坏人朝小明走过来，小明为什么不躲开？	小明在看电影 
什么海没有水？	火海 
什么东西天气越热它爬的最高？	温度计 
3个1加3个等于多少？（打一个字）	田 
一个司机在一个没有星星和月亮的天空，没有开车灯，突然停下车把公路上的一块黑布捡了上车。你知道他为什么能看见吗？	因为是白天。 
你们知道谁是万兽之王吗？	动物园的园长。 
牢里有两个犯人，一个抢劫犯，一个杀人犯。杀人犯却比抢劫犯先出来。为什么？	因为杀人犯要被带到刑场上执行枪决。 
“先天”是指父母所遗传的体质，那“后天是指什么呢？	后天就是“明天的明天”。 
为什么大雁每年要飞到南方去？	走会太慢嘛 
小红的爸爸带了一些兔子去卖，回来时，小红爸爸即带来了钱又带回了兔子。这是怎么回事？	小红爸爸卖了兔毛。 
一个2米长，3米宽，4米深坑里有的多少方土？	因为是坑所以没有土。 
学生考试要注意什么？	监考老师 
刚刚买的袜子怎麽有一个洞？	没有洞怎麽穿呢 
什么时候别人敲门你绝对不会说请进。	上厕所的时候。 
一个人对着电风扇吹可是他却满头大汗，为什么？	他在吹风扇 
将西瓜和葡萄分别从离头顶半米高的地方砸到你头上，哪个比较痛？	你的头比较痛！ 
两个考生交了一模一样的卷子，但监考老师认为他们肯定没作弊，为什么？	两人交的是白卷 
老王家有客人来，老王马上戴上了一只手套。这是为什么？	因为他要“露一手”。 
小明一点儿也不会数学，可老师说他的数学程度是数一数二的。为什么？	因为小明只会数一和数二。 
一个人向你问路 你最怕他问你什么？	这是地球吗？ 
3个人吃3张饼用3分钟，9个人吃9张饼用几分钟？	3分钟（同时吃） 
3个人3天用3桶水，9个人9天用几桶水？	27桶 
一条凶猛的眼镜蛇，在一个森林里它为什么不吃人。	因为它在一个没有人的森林里。 
小明和他妈妈为什么都在一年级教室里？	因为他妈妈是一年级的老师。 
什么药在药铺买不到。	后悔药 
什么人靠运气赚钱？	运送煤气的人 
小明的爷爷为什么能一边刷牙，一边唱歌。	刷的是假牙 
怎样把今天变冷天？	加三点“冷“ 
印度人为什么要用手抓饭吃呢？	因为用脚不方便呀！ 
请人吃没人吃,自己也难咽下去的东西是什么?	亏. 
全世界各国之间通用的话是什么?	电话. 
一辆自行车往北行驶请问冒得烟往哪飘？	自行车不冒烟 
丹顶鹤为什么睡觉用一只腿站着?	因为它两只脚都不站就掉下来了. 
盲人夜行手提一盏灯，这是为什么？	怕别人撞到他	
你的爸爸的妹妹的堂弟的表哥的爸爸与你是什么关系?	亲戚关系 
一个人从十楼上往下跳却没摔死，这是为什么？	因为是从十楼窗户上往里跳。 
一个人在炒一锅豆子，豆子有两种颜色，分别是红色和绿色。当他炒完了，他就将一锅豆子泼了出去，可是两种颜色的豆子却自动分开了，为什么？	因为锅里只有两颗豆，一颗红豆，一颗绿豆。 
一个人面向南，一个人面向北，为什么他们还能看到对方的脸？	因为他们是面对面。 
世界上死亡率最高的地方在那里？	床上 
有一次，一个电梯里挤满了人这时候电梯从高空掉了下来可是没有一个人受伤？	这是因为人全死了。 
小民的袜子为什么要破个洞？	不破个洞怎么穿！ 
什么水在太阳的照耀下会越来越多？	汗水 
把3个鸡蛋分别装在2个盘子里,一个盘子只能装一个,请问你该怎么装?	另一个盘子装2个 
有一堆鸡蛋，2只2只的拿，剩一只、3只3只的拿，剩一只、4只4只的拿， 剩一只、5只5只的拿，也剩一只、6只6只的拿，还是剩一只、7只7只的拿 刚好拿完。请问这堆鸡蛋有多少只？	有301只 。 
现代科学家，大部分出生在哪里？	产房 
一个喝醉酒的人，回家时最想的好事是什么？	走时忘记锁门。 
什么东西掉过来,增加一半?	数字6 
一个酒鬼看到一本书上写着酒对身体有害处做出了一个什么决定？	从此不在看书了。 
有一艘船能乘50人，现在已经上了49人，又来了一个孕妇，船就沉了。为 什么？	潜水艇 
小明和小刚是双胞胎，身高和体重都相同，有一天，小明突然比小刚高了 2厘米。为什么？	小明头上被别人打了一个包。 
为什么现代女性都喜欢用沐浴露,而不喜欢用肥皂?	怕越洗越脏 
“哭”和“笑”的最大共同点是什么？	笔划都是十划 
星期六,小明来到电影院,为什么没有看见半个人影!	哪来没有半个人. 
两个长的一模一样的人，可他们不是双胞胎，这是为什么？	三胞胎 
一只蚂蚁从飞机(高空中)上掉下来，为什麽会死？	饿死 
一只黄狗在沙漠里，为什么会被尿憋死？	因为沙漠里没有电线杆 
把大象放到冰箱要分几部？	三部，一打开冰箱门，二把大象放去，三关一冰箱门。 
有十只蜡烛被风吹灭了六只，其它四只继续燃烧，第二天剩下几只？	六只。 
一个人晚上在马路上行走，他从迎面而来的两盏车灯中间穿过，他却 没有事，为什么？	因为两盏车灯是两辆摩托车。 
为什么人们的"杯"字不是木头做.而还用木字旁?	可是"杯"字旁边写了一个"不" 
青春豆长在那里，你比较不担心？	别人的脸上 
偷什么东西不犯法？	偷笑 
什么鬼不可怕，反而可爱？	机灵鬼 
去商店买东西,可是柜台的橱窗里却什么也没有. 为什么?	买柜台 
老师在黑板上写了123，问：能除净吗？	能，黑板擦就能除净 
什么“光”会给人带来痛苦？	耳光！ 
一只狗从来不洗澡，为什么不生虱子？	狗本来就不生虱子，狗生狗崽儿。 
老师要江春学习要开动脑筋,江春却回答了个什么样的怪问题?	开动脑筋的开关在哪儿? 
除了动物园和非洲可以看到长颈鹿外，还有什么地方可以看到？	考场。 
为什么好马不吃回头草？ 什么东西有两个脑袋，六条腿，一根尾巴？	因为后面已经没草可吃了。 
树上有1000只鸟，用什么方法一下就能全部抓住？	照相机 
小明坐在单车上，开车的人说：“他是我儿子。”但小明却说：“他不是我爸爸”为什么？	开车的人是他妈妈嘛！ 
一个人生病,摸头,疼,摸脸,疼.这是什么病?	手指骨折. 
黑人为甚摸吃白色巧克力？	怕咬到手指头。 
牛的舌头和尾巴在什么时候能碰到一起？	在饭店 
华先生有个本领，就 是能让见到他的人，都会自动手心朝上。这是怎么回事？	因为华先生是个中医师	
一个人举起一根手指问另一个人：“贝多芬为什么不用这根手指弹琴？”	“这根手指”不是贝多芬的。 
一个人不会游泳，但是当他跳进了河里却没有被淹死，这是为什么？	河里没水。 
什么蛋可以看不可以吃。	脸蛋 
有个东西它在一个角落里不动,但却可以走遍世界,是什么>	邮票 
树上有十只鸟，打死三只，为何七只不飞走？	不在一棵树上。 
我把一只鸡和一只鹅放在冰箱里，当我再打开冰箱时鸡已经死了但鹅没有死，为什么？	因为那是只企鹅 
一辆汽车与另一辆汽车相撞，为什么不爆炸？	碰碰车 
王小明的哥哥叫王小明弟弟，但王小明却叫他哥哥小弟，这是为什么？	因为他哥哥，叫王小弟。 
小鸟最怕得什么病？	恐高症 
一条蜈蚣过了一个臭水沟后只有两个脚没湿，为什么？	因为水沟太臭，那两只脚捂着鼻子。 
什么人赶在皇上的头上糊做非为?	打一人物:理发师 
小华一次能吃好几头牛，为什么？	他吃蜗牛。 
老王家的房子为什么有时漏雨有时不漏呢?	下雨时漏,不下雨时不漏 
怎样才能使8个"8"相加得1000?	8+8+8+88+888=1000 
什么东西生的可以吃，熟的可以吃，用刀切不开，洗过之后就没人吃？	那是水嘛！ 
什么项目越往后退越能夺得冠军?	拔河. 
在吃什么东西之前不用洗?	冰棍 
小雷平时最怕狗，可是今天小雷看见了狗却很喜欢，为什么？	热狗 
欧美人就餐头一道菜是汤，你知道汤里经常会有什么吗？	盐 
小何去医院看病，为什么既不挂号,也不找医生?	他去看看最近流行什么病 
丛前有一只狗狗前边有一只猫，猫前边有一只老鼠狗后边是什么？	丛吗！ 
什么书里毛病最多？	医书 
什麽螺丝不能钉东西？	当然是俄罗斯啦 
什么人最喜欢下雨？	卖雨伞的人。 
一个小姑娘再打排球，她发了一个球，可无论谁都接不着，为什麽？	球没发过去或发界外了。 
一天，小名考了100分，可他回到家，妈妈还是打他，是为什么？	因为是五门功课加起来的 
小明洗了很久的衣服，为什么自己的衣服还是脏的	他洗的是别人的衣服 
什么地方的东西最贵？	贵州 
老师请一个同学回答问题，同学们都听出他说的是错的，但老是却表扬了他。	老师上面写的是两个字（错的） 
什么字在世界字典里永远都找不到	错别字 
一个人站在三百米的高空下扔鸡蛋。为什么鸡蛋掉了三百米而它却没有破	因为没有加上人的高度 
什么东西越擦越黑？	黑板 
什么是最好的写作方式？	从左往右写。 
有家医院从建院以来，从没有收过一个病人，请问这是为什么？	因为这是一家动物医院！！ 
世界上最大的东西是什么?	眼皮(因为眼皮一闭，就什么也看不见了!) 
不小心吞下一个硬币怎么办?	再向妈妈拿一个!! 
今天阿尾早上掉了19元钱，又捡到8元钱,今天阿尾掉了多少钱?	不是说过了吗,19元钱. 
谁敢站在老虎头上？	虱子。 
一个胖子和一个瘦子跳楼谁先到达地面？	围观的人 
把一个西瓜用四刀切成九块，吃完后共有十块皮，你能做的到吗？	把瓜按“井”字切，便有九块皮，中间一块瓜两边都有皮 
毛毛说：１０＋４＝２，老师也说对，为什么?	10点+4点=下午2点 
世界上哪里的海不产鱼？	辞海 
生米不小心煮成熟饭时该怎么办？	准备开饭 
什么东西愈生气，它便愈大?	脾气 
有一位老太太上了公车，为什么没人让座？	车上有空坐。 
太阳爸爸和太阳妈妈生了个太阳儿子，我们应该说什么祝贺辞恭喜他们？	生「日」快乐！ 
某富翁的左右邻居都养狗，一到晚上，这二条狗就吠叫不停。无法忍受这种折磨的富翁，便出搬家费一百万元，希望左右邻居搬走。的确，两个邻居是连狗一起搬家了，但是一到夜晚，富翁还是可听到完全相同的狗吠声。这是为	两邻居互相交换房屋 
小明对小华说：“我可以坐在一个你永远也坐不到的地方！”他坐在哪里?	小华的身上 
什么情况下5大于O，O大于2，2大于5？	石头，剪刀，布 
要想成功的闯红灯，它的秘决在哪里？	要等黃灯和绿灯结束才过马路 
1，2，3所能组成的最大数是多少？	3的21次方 
拿鸡蛋撞石头为何不烂?	石头当然不会烂 
为了怕身材走样，结婚后不生孩子的美女怎么称呼？	绝代佳人 
一场大雨，忙着栽种的农民纷纷躲避，却仍有一人不走，为什么？	稻草人 
有一个女生，她可以不洗澡、不换衣服，但她的衣服是世界最貴的，請问他是谁？	她是自由女神 
在冰天雪地的北极找不到防身的武器時该怎么办？	撒泡尿制成冰剑。 
妈妈叫大雄赶快起床上学校，因为就快迟到了！但是前天被殴，昨天被打的大雄，说什么也不肯去，只表示已经“没法子了！”这是为什么？	因为大雄是学校的老师 
每个成功男人背后有一个女人，那一个失败的男人背后会有什么？	有太多的女人 
什么交通工具速度越慢越让人恐惧?	正在飞行的飞机 
有一种布很长很宽很好看，就是没有人用它来作衣服也不可能作成衣服，为什么？	瀑布 
我们在平常生活中最常讲什么话？	电话 
一百个男人无法抬起的物体，却有一女子可单手举起，此物体究竟为何物？	鸡蛋 
油漆工的徒弟叫啥?	好色之徒 
当你向别人夸耀你的长处的同时，别人还会知道你的什么？	你不是个哑巴 
中国古贤人曾将兰色外衣，浸泡于黄河中，结果产生何种现象？	沾湿 
废除早自习会造成什么影响？	让学生和家长可以多赖床半小时。 
小明在街上散步时见到一张百元大钞和一块骨头，它却捡了一块骨头，为什么?	它是一只狗 
请你把九匹马平均放到十个马圈里，并让每个马圈里的马的数目都相同，怎么分？	把九匹马放到一个马圈里，然后在这个马圈外再套九个马 
大灰狼拖走了羊妈妈，小羊为什么也不声不响地跟了去？	小羊在羊妈妈的肚子里 
总是在舌头比头脑快时才产生的感觉是什么？	愚蠢 
为什么大家都喜欢坐在电视机前看电视？	因为站久了脚会酸。 
有一位刻字先生，他挂出来的价格表是这样写的：刻“隶书”4角；刻“仿宋体”6角刻“你的名章”8角；刻“你爱人的名章”1.2元。那么他刻字的单价是多少？	每个字两角 
为什么有一个人经常从十米高的地方不带任何安全装置跳下?	跳水运动员 
盲人都是怎么吃桔子的？	瞎掰 
一人被老虎穷追不舍，突然前有条大河, 他不会游泳,也没有交通工具，但他过去了，为 什么?	他昏过去了 
胖姐阿英站上人体秤时，为何指针却只指着5？	指针已转过一圈了。 
为什么今天全球股市指数下跌？	今天是「世界环保日」 
有一只蜗牛从新疆维吾尔自治区爬到海南省为什么只需三分钟?	它在地图上爬 
小明的肚子明明已经胀得受不了了，为什么他还要不停地猛喝水？	他掉进河里了 
小王有五颗糖，吃了两颗后，被大林和他的女友看见，大林说:「好东西要和老朋友分享。」请问小王该怎么做？	向大林说声「谢谢」，然后带走大林的女友。 => 大林说 
徐先生犯了一个大错误。当他在太太面前，掏口袋的一刹那，一些袋内的酒吧火柴盒、未中奖的马票，以及旧情人的照片等，均散落一地。他在慌张之余，为了避免吵架，双手各遮起一件东西 。试问，他所遮起最有效的东	她太太的左眼和右眼 
什么事你明明没有做却要受罚?	做作业 
好心的约翰去世了，天使要带他上天堂，为什么他坚决不肯去？	他有恐高症 
红和绿豆放在一个碟子里,小王为什么一下就把它们分开了?	红豆和绿豆一样只有一颗 
明明是个近视眼，也是个出名的馋小子，在他面前放一堆书，书后放一个苹果，你说他会先看什么？	什么都看不到 
同事们在小张家喝酒、聊天，酒过三巡后，为什么大家都知道小张喝醉了？	因為小张正在穿鞋子，准备回家 
有辆载满货物的货车，一人在前面推，一人在后面拉，货车还可能向前进吗？（限时10分钟)	可能，货车在下坡路上 
小郭很爱唱歌，就连用牙刷、牙膏刷牙时，他也与众不同，竟还在放声大唱，结果还可以把牙刷的很干净，你说为什么?	不知道啊，哈哈 
某地发生了大地震，伤亡惨重，收音机里不断传出受灾情况以及寻人启事，一位老大爷一直在注意收听收音机的报道。有人问他：“收音机里播放过你孙子的消息了吗？”他回答说：“没有。”接着他又说：“但我知道我孙子肯	他孙子是那个播音员 
把什么打破了不会受到处分而会得到奖励?	记录 
船边挂着软梯，离海面2米，海水每小时上涨半米，几个小时海水能淹没软梯？	水涨船高，水不会淹没软梯。 
天气愈來愈冷，为什么小华不多加件衣服，反而要脫衣服？	因为他准备要洗澡了。 
前些日子，小高与双亲头一次出国旅行，他们三人来到一个完全陌生的国度。由于语言上的不通，他的父母显得不知所措。而只有小高未感受丝毫不方便，仿佛仍在自己的国家中，这是什么道理呢？	原来小高仅是一名婴儿 
有一名囚犯，被抓到警察局，并被单独关到了一间密封非常好的小囚室里，在没有可能外人进入的情况下，第二天早晨，囚室里居然多出了一名男士！这是为什么?	她是名女囚犯，第二天生了一个小男孩 
小张走路从来脚不沾地，这是为什么？	因为穿着鞋 
王和李都睁一只眼闭一只眼做事,为什么王得表演,李受处分?	因为王是射击运动员,李是仓库保管员 
爱吃零食的小王体重最重时有50公斤，但最轻时只有3公斤，为什么？	那是他刚出生的时候 
东西掉了该怎么办？	沒关系，还有四张空白麻將。 
芳龄二十四，自认窈窕美丽的丁小姐，逐渐厌烦这种游戏人间的爱情，于是便于夏天下定决心——要和第一个向她求婚的人，踏入地毯的那一端。但是，当我于秋天再度碰到丁小姐时，她虽然表示：“有人要我结婚，已高达四十	因为要她结婚的是他父母 
五月五日是我国人民传统节日：端午节，是伟大诗人屈原投江的日子，那么你知道五月十二日是什么日子吗?	屈原烧头七的日子 
车祸发生不久，第一批警察就赶到了现场，他们发现司机完好无损，翻覆的车子内外血迹斑斑，却没有见到死者和伤者，而这里是荒郊野外，并无人烟，这是怎么回事？	这是一辆献血车 
为什么自由泳比赛中青蛙输给了狗？	青蛙用蛙泳犯规 
什么水永远用不完 ?	泪水 
